farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
145,14,141.2565495,43.2115285,45.41,44.59,0.6233,1.286,475.2,472.4,2.4,2.386,1.719,1,cluster,2024,Japan
146,12,-71.146299,41.092738,171.92,98.08,0.7738,1.85,1807.4,1815.5,9.128,9.169,2.484,1,rule_grid,2024,United States of America
147,12,117.6400645,38.6650735,174.77,95.23,0.9958,15.359,669.4,678.1,3.381,3.425,3.014,1,belt,2024,China
148,11,21.352709,61.624704,113.7,156.3,0.7482,1.724,627.8,623.5,3.171,3.149,2.157,1,rule_grid,2024,Finland
149,11,12.670154,55.69585,90.48,179.52,0.9972,19.031,237.9,168.7,1.201,0.852,2.829,4,multi_cluster,2024,Sweden
150,11,-1.998768,57.224085,56.93,33.07,0.8318,2.224,885.6,823.0,4.473,4.156,2.847,1,rule_grid,2024,United Kingdom
151,10,125.94858550000001,34.979393,28.13,61.87,0.6912,1.496,943.7,943.6,4.766,4.766,1.978,1,rule_grid,2024,South Korea
152,10,8.2247185,56.6655215,44.7,45.3,0.798,1.988,545.7,289.9,2.756,1.464,1.975,5,multi_cluster,2024,Denmark
153,10,10.355277000000001,55.969254500000005,100.61,169.39,0.6742,1.439,180.5,180.6,0.912,0.912,2.057,1,rule_grid,2024,Denmark
154,10,10.583343,55.721757499999995,90.05,179.95,1.0,882.267,295.3,294.8,1.492,1.489,25.979,1,belt,2024,Denmark
155,9,17.140531,40.491207,62.06,27.94,0.9483,4.282,475.8,598.4,2.403,3.022,2.632,1,sparse,2024,Italy
156,6,-71.16107550000001,41.193036,55.75,34.25,0.9495,4.335,1854.0,1855.4,9.363,9.371,2.447,1,sparse,2024,United States of America
157,7,10.960365,55.344036,12.52,77.48,1.0,385.976,449.9,449.5,2.272,2.27,23.278,1,sparse,2024,Denmark
158,7,-5.946678,52.791477,80.74,9.26,0.999,31.687,625.1,622.2,3.157,3.142,6.962,1,sparse,2024,Ireland
159,7,106.124901,9.296226,71.29,18.71,0.9352,3.798,385.8,385.6,1.948,1.947,2.515,1,sparse,2024,Vietnam
160,5,-71.521061,41.114956,40.52,49.48,0.9954,14.744,838.4,836.5,4.234,4.225,5.974,1,sparse,2024,United States of America
161,5,-1.866422,57.005665,65.31,24.69,0.8072,2.046,994.9,1000.2,5.025,5.052,2.522,1,sparse,2024,United Kingdom
162,5,-1.400552,55.131786,108.09,161.91,0.9969,17.859,1006.6,1005.4,5.084,5.078,6.497,1,sparse,2024,United Kingdom
163,5,18.143836,57.037056,168.11,101.89,0.5693,1.15,360.6,371.4,1.821,1.876,3.264,1,sparse,2024,Sweden
164,5,-1.352494,57.485243,148.26,121.74,0.7346,1.664,1386.5,1386.4,7.003,7.002,3.912,1,sparse,2024,United Kingdom
165,4,118.44200699999999,38.0456895,76.85,13.15,0.8674,2.558,617.0,603.2,3.116,3.047,4.163,1,sparse,2024,China
166,4,140.0042075,39.774293,140.65,129.35,0.9555,4.632,1395.7,931.1,7.049,4.703,4.229,2,sparse,2024,Japan
167,3,4.794118,43.190374,55.81,34.19,1.0,314.397,914.1,903.1,4.616,4.561,46.391,1,sparse,2024,France
168,3,117.580662,38.620361,21.11,68.89,0.9827,7.535,669.6,625.3,3.382,3.158,7.166,1,sparse,2024,China
169,3,119.887104,34.459923,136.38,133.62,0.6479,1.356,844.1,799.2,4.263,4.036,4.891,1,sparse,2024,China
170,3,-9.05731,41.686756,0.2,89.8,1.0,148.427,597.4,595.1,3.017,3.006,32.008,1,sparse,2024,Portugal
