farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
148,90,11,Finland,598186081.0356293,621792850.0645714,0.6207825664545759,0.03796564889173398,0.491794999994454
148,100,11,Finland,598359741.9224737,621792850.0645714,0.620962787383223,0.037686358309948806,0.518258699994476
148,110,11,Finland,598186081.0356306,621792850.0645714,0.6207825664545772,0.037965648891731874,0.5011605999970925
148,120,11,Finland,598359741.9224744,621792850.0645714,0.6209627873832237,0.037686358309947654,0.5038165000005392
148,130,11,Finland,598186081.03563,621792850.0645714,0.6207825664545765,0.03796564889173283,0.5132402000017464
148,140,11,Finland,598359741.9224737,621792850.0645714,0.620962787383223,0.037686358309948806,0.5001446000023861
148,150,11,Finland,598186081.0356299,621792850.0645714,0.6207825664545764,0.037965648891733025,0.5121751000042423
148,160,11,Finland,598359741.9224739,621792850.0645714,0.6209627873832232,0.037686358309948424,0.49400259999674745
148,170,11,Finland,598186081.0356303,621792850.0645714,0.620782566454577,0.037965648891732255,0.5066604999956326
150,0,11,United Kingdom,603160133.0462359,621792850.0645714,0.6259445133315026,0.02996611655537774,0.49455780000425875
150,10,11,United Kingdom,601294551.9270917,621792850.0645714,0.6240084598662222,0.03296644233742954,0.5115264000050956
150,20,11,United Kingdom,603160133.0462363,621792850.0645714,0.625944513331503,0.029966116555377165,0.4960105999998632
150,30,11,United Kingdom,601294551.9270912,621792850.0645714,0.6240084598662217,0.032966442337430304,0.5131369000009727
150,40,11,United Kingdom,603160133.046237,621792850.0645714,0.6259445133315037,0.029966116555376014,0.4950167999995756
150,50,11,United Kingdom,601294551.9270918,621792850.0645714,0.6240084598662223,0.03296644233742935,0.517382500001986
150,60,11,United Kingdom,603160133.0462359,621792850.0645714,0.6259445133315026,0.02996611655537774,0.4908316000000923
150,70,11,United Kingdom,601294551.9270928,621792850.0645714,0.6240084598662233,0.03296644233742781,0.5015491000012844
150,80,11,United Kingdom,603160133.0462359,621792850.0645714,0.6259445133315026,0.02996611655537774,0.5061715000047116
150,90,11,United Kingdom,601294551.9270924,621792850.0645714,0.624008459866223,0.03296644233742839,0.49342710000200896
150,100,11,United Kingdom,603160133.046236,621792850.0645714,0.6259445133315027,0.02996611655537755,0.5035449000060908
150,110,11,United Kingdom,601294551.9270915,621792850.0645714,0.624008459866222,0.03296644233742992,0.49649289999797475
150,130,11,United Kingdom,601294551.9270924,621792850.0645714,0.624008459866223,0.03296644233742839,0.515796900006535
150,140,11,United Kingdom,603160133.0462366,621792850.0645714,0.6259445133315034,0.02996611655537659,0.5000583000000915
